score,attempts,timeSpentSeconds,correct,total,status
90,1,177,30,32,mastered
75,7,1589,24,32,developing
87,2,334,10,12,mastered
67,1,130,9,13,developing
37,3,810,12,34,weak
61,9,2043,9,14,developing
86,6,948,16,19,developing
52,7,1071,8,16,weak
60,1,93,8,12,developing
30,9,1935,6,20,weak
70,7,1463,11,17,developing
42,3,624,6,14,weak
29,5,520,13,37,weak
97,6,1140,29,31,mastered
89,5,1445,17,19,mastered
66,1,149,8,12,developing
53,5,1295,18,32,weak
71,3,477,16,24,developing
92,3,573,27,29,mastered
49,5,1065,18,35,weak
51,5,1035,20,36,weak
88,1,239,24,27,mastered
73,9,1008,18,23,developing
44,1,103,14,35,weak
54,1,164,19,33,weak
44,4,496,16,34,weak
80,6,1512,22,28,developing
67,8,2096,17,26,developing
93,9,792,33,34,mastered
75,3,558,28,35,developing
61,8,1544,8,12,developing
58,4,756,9,15,weak
51,5,700,20,36,weak
59,7,1995,15,24,weak
57,3,291,18,31,weak
53,9,1431,9,16,weak
96,6,1392,35,36,mastered
57,9,792,6,11,weak
58,6,1686,12,22,weak
64,7,1085,21,32,developing
72,9,1755,25,34,developing
97,7,1666,23,24,mastered
96,7,707,36,37,mastered
72,6,1098,27,39,developing
96,7,1813,28,30,mastered
58,3,429,9,15,weak
71,3,573,14,19,developing
78,7,1225,18,24,developing
85,4,428,26,32,developing
48,7,784,18,35,weak
81,6,1698,8,10,developing
96,6,828,30,33,mastered
52,8,1496,16,29,weak
95,3,483,30,31,mastered
76,3,861,18,24,developing
100,3,762,29,30,mastered
58,1,137,22,36,weak
60,2,222,16,24,developing
43,3,615,13,27,weak
80,9,2385,9,11,developing
48,2,570,8,15,weak
82,6,1188,30,34,developing
62,5,590,18,27,developing
45,6,1182,7,14,weak
77,3,735,25,30,developing
68,4,884,25,37,developing
51,9,1980,6,10,weak
59,9,1224,9,15,weak
62,9,2412,9,14,developing
83,9,2511,17,20,developing
56,7,714,8,14,weak
37,8,2024,9,22,weak
64,5,960,22,35,developing
80,1,91,18,21,developing
77,2,554,29,36,developing
54,9,792,16,31,weak
96,2,378,21,21,mastered
89,9,1494,28,31,mastered
68,6,1236,25,36,developing
64,9,1962,24,39,developing
38,2,382,9,21,weak
67,1,170,11,16,developing
58,9,720,16,26,weak
89,5,1455,34,37,mastered
59,9,2430,8,13,weak
55,1,90,16,28,weak
99,7,2009,36,37,mastered
20,3,342,8,39,weak
64,4,1164,14,21,developing
67,6,1428,19,28,developing
77,1,214,26,35,developing
88,3,462,15,18,developing
48,1,137,7,13,weak
66,5,1130,23,36,developing
69,2,576,26,38,developing
61,6,1410,21,32,developing
49,8,944,7,13,weak
54,7,1638,12,23,weak
75,9,2511,20,26,developing
89,8,2080,25,29,mastered
68,3,774,22,35,developing
66,1,161,16,22,developing
73,1,278,10,13,developing
78,5,695,26,34,developing
36,5,750,10,25,weak
70,7,2002,17,23,developing
49,4,1012,11,22,weak
73,7,882,26,35,developing
86,7,567,21,25,developing
60,9,756,10,16,developing
36,5,1420,7,16,weak
65,3,330,12,17,developing
38,4,396,13,30,weak
89,9,1098,27,31,mastered
91,8,1272,27,29,mastered
46,3,492,10,22,weak
40,7,756,5,11,weak
93,1,230,13,13,mastered
66,5,505,7,10,developing
75,6,1008,10,13,developing
22,9,1413,5,20,weak
47,7,1141,12,24,weak
75,7,1407,25,33,developing
35,4,912,12,37,weak
52,8,1080,13,25,weak
82,6,1194,25,30,developing
67,7,812,11,16,developing
38,4,448,14,33,weak
65,7,1302,17,24,developing
49,8,680,6,12,weak
69,6,1104,26,37,developing
72,9,1368,28,37,developing
57,5,1345,15,27,weak
59,3,747,16,27,weak
85,8,672,27,32,developing
15,2,182,7,37,weak
69,4,940,10,14,developing
71,4,1148,18,24,developing
82,9,2079,25,32,developing
88,6,1182,28,30,mastered
59,3,432,13,20,weak
54,7,686,14,25,weak
80,3,360,31,38,developing
49,4,1048,14,27,weak
97,8,1768,21,21,mastered
57,4,672,18,33,weak
77,1,130,31,39,developing
90,7,1869,9,10,mastered
33,1,198,13,39,weak
66,4,908,12,20,developing
53,2,274,5,10,weak
97,3,252,27,28,mastered
60,6,840,19,31,developing
68,9,2664,8,11,developing
77,7,1631,14,18,developing
60,8,1064,23,37,developing
76,6,1182,20,28,developing
45,2,162,13,27,weak
43,9,774,9,19,weak
59,9,2484,13,22,weak
87,2,260,17,20,mastered
31,4,428,7,20,weak
65,5,1230,27,38,developing
97,6,1338,30,31,mastered
90,3,804,26,29,mastered
60,2,338,12,20,weak
66,8,1944,19,26,developing
72,2,436,23,29,developing
51,9,1845,15,28,weak
81,1,134,21,26,developing
85,8,1040,24,27,mastered
46,6,486,20,39,weak
64,2,208,9,14,developing
84,9,2151,12,14,developing
65,6,1614,8,12,developing
65,5,1135,23,34,developing
55,5,885,7,12,weak
62,4,580,14,23,developing
74,1,228,12,15,developing
74,1,155,24,34,developing
52,5,790,16,29,weak
66,9,2394,22,32,developing
77,6,1284,11,14,developing
100,9,2511,37,38,mastered
64,1,171,11,17,developing
50,8,2296,20,38,weak
27,2,300,11,35,weak
47,9,1917,5,10,weak
74,3,390,15,22,developing
41,6,534,13,28,weak
71,2,278,11,15,developing
68,3,813,14,21,developing
92,6,1296,10,11,mastered
58,3,519,19,33,weak
67,6,1140,15,21,developing
90,2,254,36,38,mastered
34,7,1911,5,15,weak
64,7,707,21,30,developing
45,4,488,7,18,weak
48,4,788,11,24,weak
83,5,645,14,16,developing
37,8,992,4,11,weak
38,6,1452,10,25,weak
90,1,95,15,17,mastered
80,8,2328,24,31,developing
49,7,1414,11,21,weak
93,5,1365,28,30,mastered
39,4,940,7,17,weak
52,9,1962,14,29,weak
88,1,135,25,29,developing
70,8,1296,10,15,developing
95,4,800,29,30,mastered
64,6,972,7,11,developing
45,7,868,12,25,weak
85,9,2268,15,18,developing
58,1,153,12,19,weak
62,6,1050,14,24,weak
47,2,372,9,19,weak
55,1,116,21,36,weak
34,3,300,15,38,weak
78,3,534,24,32,developing
38,2,242,9,21,weak
43,2,316,17,36,weak
72,6,1296,16,21,developing
98,1,151,12,12,mastered
75,5,435,8,11,developing
55,1,144,12,21,weak
49,3,840,9,16,weak
83,1,100,13,15,developing
64,8,1056,16,23,developing
62,1,200,20,34,weak
61,6,1008,6,10,weak
53,4,340,14,26,weak
96,1,148,15,15,mastered
93,2,206,22,25,mastered
91,9,2475,11,12,mastered
98,7,574,21,21,mastered
49,6,1434,10,21,weak
63,2,292,25,38,developing
41,9,2124,18,38,weak
36,3,750,6,16,weak
86,6,1560,30,33,mastered
79,5,955,31,39,developing
57,5,1055,6,10,weak
41,7,1554,10,21,weak
65,1,184,12,17,developing
100,9,1368,29,30,mastered
89,3,711,27,29,mastered
100,4,1100,34,35,mastered
59,6,1782,10,16,weak
57,6,1608,11,19,weak
60,3,687,25,39,developing
59,8,1008,11,17,weak
56,1,227,12,23,weak
55,3,807,11,18,weak
84,8,1352,17,21,developing
100,5,1115,27,28,mastered
66,2,260,11,17,developing
99,8,1008,10,10,mastered
81,8,2168,20,24,developing
80,9,1656,10,12,developing
89,6,1788,24,26,mastered
99,8,2192,24,24,mastered
36,1,280,4,10,weak
87,6,870,30,35,developing
46,4,816,16,35,weak
61,6,720,16,26,developing
95,7,1141,16,16,mastered
78,1,149,9,11,developing
57,8,1968,17,29,weak
78,5,445,12,15,developing
77,3,243,10,12,developing
66,3,537,21,31,developing
47,2,404,12,24,weak
88,1,122,9,10,mastered
54,5,975,12,21,weak
64,2,534,12,18,developing
76,8,2344,10,13,developing
37,5,680,5,13,weak
52,7,1204,17,35,weak
18,6,618,6,26,weak
76,8,2008,29,38,developing
35,5,1495,11,34,weak
67,5,775,17,23,developing
52,2,362,9,18,weak
60,1,140,20,33,developing
97,6,1530,29,30,mastered
93,8,944,32,33,mastered
91,4,436,22,25,mastered
69,7,791,7,10,developing
85,6,870,16,18,mastered
85,4,504,21,23,mastered
53,9,954,16,27,weak
60,8,1392,15,27,weak
78,2,328,18,23,developing
94,7,1323,13,13,mastered
74,9,1278,17,23,developing
95,2,196,28,29,mastered
76,9,1710,19,25,developing
50,7,987,18,38,weak
86,4,728,23,27,mastered
78,8,1016,23,28,developing
85,6,912,9,11,mastered
70,6,1344,11,14,developing
42,3,732,8,17,weak
71,1,100,18,25,developing
60,8,800,18,32,weak
40,3,573,5,11,weak
27,7,1407,7,28,weak
61,5,1030,13,22,developing
72,8,1304,16,23,developing
55,7,1554,11,19,weak
65,4,1124,18,28,developing
99,6,1506,12,12,mastered
27,8,1848,12,38,weak
86,3,528,32,38,developing
92,8,1904,32,33,mastered
72,7,903,13,18,developing
20,4,848,7,34,weak
71,4,868,8,11,developing
86,3,747,20,24,developing
76,1,108,18,23,developing
75,9,2061,28,36,developing
50,3,387,13,28,weak
94,1,198,17,17,mastered
39,1,226,10,22,weak
73,1,166,22,29,developing
80,9,783,14,17,developing
70,2,240,14,21,developing
77,3,741,31,38,developing
100,4,916,13,13,mastered
81,7,1414,16,19,developing
75,7,686,31,39,developing
63,8,1368,19,31,developing
72,3,342,25,35,developing
74,9,1143,24,33,developing
40,5,655,10,25,weak
76,8,1160,20,28,developing
46,9,1359,7,14,weak
74,3,354,21,27,developing
59,3,267,17,30,weak
95,3,489,10,10,mastered
73,8,1272,25,33,developing
71,9,1638,22,29,developing
89,2,394,13,14,mastered
66,7,1421,21,32,developing
50,5,1055,18,37,weak
75,2,216,18,24,developing
69,3,270,20,27,developing
100,1,260,28,29,mastered
49,7,2037,14,31,weak
66,3,780,25,39,developing
96,5,755,24,25,mastered
69,2,510,10,14,developing
96,6,1434,27,28,mastered
57,3,726,20,35,weak
60,7,1211,11,19,weak
27,4,504,9,33,weak
67,7,1470,24,37,developing
100,3,681,16,16,mastered
52,2,294,13,23,weak
91,2,178,33,34,mastered
76,7,1624,27,38,developing
29,3,864,7,26,weak
43,9,1494,8,17,weak
79,7,1393,24,31,developing
61,6,1350,13,20,developing
80,4,696,15,20,developing
80,3,831,19,23,developing
78,2,424,27,34,developing
46,1,188,6,11,weak
64,5,615,20,29,developing
74,7,1596,14,18,developing
49,1,122,19,38,weak
58,3,678,17,31,weak
45,3,255,15,30,weak
42,4,744,10,20,weak
64,7,1988,12,20,developing
93,5,1355,24,24,mastered
40,9,1710,16,38,weak
79,5,815,10,12,developing
60,2,358,19,30,developing
35,3,624,12,35,weak
76,7,1260,15,18,developing
90,7,1876,28,29,mastered
63,4,348,11,17,developing
35,5,715,9,22,weak
62,1,107,11,17,developing
49,7,924,10,20,weak
88,9,765,29,34,mastered
60,7,595,15,27,weak
20,4,912,3,13,weak
61,9,2529,12,18,developing
64,8,1752,23,35,developing
79,2,420,9,11,developing
55,9,999,16,26,weak
97,8,1264,29,30,mastered
64,8,1424,22,34,developing
98,6,984,12,12,mastered
60,2,366,19,31,developing
84,7,1043,15,18,developing
78,9,1197,29,38,developing
49,1,243,19,38,weak
91,5,1335,13,15,mastered
34,5,490,13,33,weak
55,5,525,18,30,weak
83,5,1170,29,37,developing
85,7,1218,10,11,mastered
90,7,882,35,37,mastered
66,8,2176,14,23,developing
57,6,510,16,27,weak
75,6,534,20,28,developing
83,4,564,31,38,developing
87,9,2286,15,17,mastered
90,1,131,12,14,mastered
61,8,2056,22,37,weak
64,2,584,19,32,developing
68,3,384,20,31,developing
67,9,1044,8,12,developing
93,3,357,15,17,mastered
91,4,1020,32,35,mastered
23,9,936,7,24,weak
79,1,278,19,23,developing
70,9,2295,18,26,developing
60,6,1494,21,37,weak
82,9,1431,17,21,developing
85,3,483,28,34,developing
83,9,2061,27,31,developing
45,9,1935,16,32,weak
57,7,1428,13,25,weak
55,6,1614,11,20,weak
98,3,660,13,13,mastered
28,2,576,12,38,weak
62,1,219,18,30,developing
100,5,405,31,32,mastered
33,2,544,12,32,weak
60,1,260,11,17,developing
84,1,145,11,13,developing
67,7,770,9,12,developing
56,1,235,11,20,weak
70,9,2511,26,38,developing
52,7,770,14,26,weak
90,2,550,16,18,mastered
69,9,1863,26,36,developing
85,3,555,24,28,mastered
75,7,1722,12,16,developing
64,2,240,26,39,developing
69,6,1248,16,21,developing
61,1,227,11,18,weak
74,1,274,11,16,developing
80,5,660,21,27,developing
81,2,180,27,32,developing
50,3,828,8,15,weak
46,9,1926,11,25,weak
21,8,1736,6,21,weak
62,3,339,18,30,weak
56,2,240,15,25,weak
54,9,1998,7,13,weak
100,6,1326,17,17,mastered
35,8,2392,7,18,weak
100,3,876,10,10,mastered
100,6,1290,33,34,mastered
90,8,808,34,38,mastered
70,5,630,18,27,developing
95,4,1004,21,21,mastered
79,9,1485,13,17,developing
76,3,849,15,20,developing
69,1,212,29,39,developing
58,7,2093,7,12,weak
93,9,1503,20,22,mastered
65,9,1611,13,19,developing
83,4,892,10,13,developing
66,5,520,23,33,developing
95,9,1521,26,28,mastered
27,3,594,3,13,weak
71,1,155,24,34,developing
76,3,897,29,37,developing
67,4,960,14,20,developing
52,7,1764,19,38,weak
35,2,480,10,30,weak
27,9,2259,8,33,weak
55,4,740,20,39,weak
100,7,784,26,27,mastered
93,1,241,14,14,mastered
100,3,657,11,11,mastered
100,9,1620,16,16,mastered
85,1,165,14,15,mastered
67,1,254,21,31,developing
68,1,194,21,31,developing
71,6,1764,7,10,developing
80,6,984,25,32,developing
55,2,390,14,24,weak
98,9,1701,31,32,mastered
48,8,1968,5,10,weak
72,7,1680,23,30,developing
74,9,2619,29,39,developing
100,9,1107,24,24,mastered
84,9,1044,27,31,developing
70,1,170,11,15,developing
57,4,684,7,12,weak
86,5,410,18,21,mastered
86,8,1496,21,25,developing
88,9,2232,23,26,mastered
68,2,398,9,13,developing
85,3,639,17,21,developing
72,8,1672,11,14,developing
62,7,1981,20,32,developing
74,3,498,19,25,developing
48,8,976,7,15,weak
81,4,696,29,35,developing
70,3,759,19,26,developing
51,5,500,14,29,weak
71,1,151,21,27,developing
59,3,717,13,21,weak
73,3,549,7,10,developing
91,7,1883,29,30,mastered
76,9,1503,28,37,developing
82,7,1806,31,36,developing
78,5,1405,10,12,developing
75,4,480,22,30,developing
45,8,672,16,33,weak
87,2,354,22,26,developing
80,6,1152,10,13,developing
60,5,400,16,24,developing
98,7,889,15,15,mastered
75,9,945,15,21,developing
58,2,462,19,30,weak
72,3,549,18,24,developing
66,7,1757,8,12,developing
93,2,592,10,10,mastered
60,7,707,14,24,weak
83,2,248,16,19,developing
71,3,816,12,17,developing
56,6,1386,12,20,weak
61,1,88,17,27,developing
58,1,148,22,35,weak
50,8,1208,6,13,weak
76,1,212,20,26,developing
82,4,620,28,35,developing
68,3,690,24,34,developing
91,7,728,31,34,mastered
62,7,1253,14,23,developing
88,1,172,26,30,mastered
99,5,1120,14,14,mastered
24,9,1233,4,20,weak
52,3,849,20,35,weak
75,9,783,27,36,developing
100,7,1666,19,20,mastered
73,8,2320,28,37,developing
60,8,896,16,26,developing
67,4,688,24,37,developing
45,9,2610,17,35,weak
85,3,330,25,28,mastered
95,7,973,16,17,mastered
98,5,760,17,17,mastered
21,1,210,7,36,weak
49,6,1746,9,18,weak
24,2,320,5,26,weak
76,3,741,12,17,developing
50,6,738,7,14,weak
100,6,936,12,12,mastered
71,9,1179,14,21,developing
48,1,248,6,12,weak
77,5,845,26,35,developing
27,9,1404,8,32,weak
69,4,796,7,10,developing
47,9,2007,18,38,weak
52,7,1918,10,19,weak
90,1,171,13,15,mastered
98,7,1603,36,37,mastered
83,6,1596,24,27,developing
40,1,230,18,39,weak
72,1,184,26,34,developing
66,3,279,13,18,developing
87,4,328,21,25,developing
97,8,2360,11,11,mastered
83,4,1000,10,12,developing
59,4,392,14,23,weak
85,3,252,33,36,mastered
57,2,454,19,31,weak
47,9,2187,11,21,weak
60,4,660,21,35,weak
89,5,1425,26,28,mastered
71,5,825,16,21,developing
66,5,470,22,33,developing
56,7,875,14,23,weak
83,5,535,14,16,developing
45,8,1264,10,22,weak
59,7,1953,9,14,weak
49,9,1170,9,18,weak
34,3,477,5,15,weak
63,8,2272,8,13,weak
86,5,640,32,37,mastered
82,7,1036,27,33,developing
52,5,705,14,25,weak
74,1,154,19,24,developing
84,1,142,11,14,developing
56,6,534,13,24,weak
67,1,293,15,24,developing
100,8,1136,24,25,mastered
100,6,786,35,36,mastered
24,5,1080,5,26,weak
95,1,155,13,13,mastered
65,3,465,24,37,developing
69,1,229,23,35,developing
50,5,1470,6,12,weak
72,3,777,9,11,developing
58,8,2192,22,39,weak
70,7,1834,22,31,developing
66,8,1888,21,33,developing
65,2,286,23,33,developing
76,7,1834,28,37,developing
92,2,298,22,23,mastered
52,4,344,6,10,weak
63,4,528,10,14,developing
37,1,262,10,30,weak
74,4,688,22,28,developing
67,3,408,13,19,developing
80,7,924,16,19,developing
98,6,1596,18,18,mastered
66,9,1431,8,12,developing
58,7,1365,5,10,weak
89,9,1251,28,32,mastered
74,1,227,26,36,developing
90,7,987,24,27,mastered
54,2,170,19,32,weak
28,5,1325,11,36,weak
60,6,624,21,34,developing
69,7,2030,8,11,developing
84,9,1206,12,13,developing
90,5,1140,29,32,mastered
53,7,1827,7,13,weak
41,5,1220,5,11,weak
76,9,2601,26,32,developing
52,9,2628,12,21,weak
72,5,1385,11,15,developing
96,1,105,10,11,mastered
70,8,2384,21,31,developing
96,1,285,36,37,mastered
90,5,1290,22,24,mastered
89,1,270,10,11,mastered
58,8,1984,14,25,weak
77,7,1652,13,17,developing
74,2,532,17,23,developing
73,5,1140,26,35,developing
100,1,272,38,39,mastered
61,2,176,24,37,developing
52,3,573,17,30,weak
49,3,627,5,10,weak
54,8,1528,14,27,weak
36,1,173,9,23,weak
68,1,127,19,27,developing
95,9,2511,20,21,mastered
50,4,860,12,21,weak
51,1,149,9,18,weak
48,5,700,15,33,weak
56,3,594,17,28,weak
95,3,465,37,38,mastered
62,1,250,8,13,developing
68,8,1704,20,30,developing
59,8,2224,9,15,weak
98,1,102,26,27,mastered
93,9,1116,29,30,mastered
43,6,1134,12,24,weak
38,3,327,14,38,weak
54,5,1440,13,22,weak
89,2,530,23,25,mastered
17,9,1368,2,12,weak
79,3,540,12,15,developing
46,4,1060,10,19,weak
67,2,500,18,26,developing
89,6,966,23,25,mastered
77,7,1526,12,16,developing
99,6,1542,14,14,mastered
84,3,678,30,35,developing
93,8,800,31,34,mastered
76,2,258,15,20,developing
100,1,259,25,26,mastered
73,5,605,7,10,developing
50,1,219,14,27,weak
57,4,628,13,22,weak
65,7,560,23,37,developing
79,4,1064,22,29,developing
74,5,1125,27,36,developing
84,6,744,25,28,developing
60,4,1060,19,29,developing
44,6,684,6,14,weak
64,8,1360,14,23,developing
32,8,1840,5,17,weak
68,7,1491,14,22,developing
63,2,436,8,13,developing
82,7,973,17,22,developing
50,4,1184,11,22,weak
100,7,1981,20,20,mastered
60,7,1435,21,34,developing
82,9,1548,9,10,developing
52,4,936,19,34,weak
68,6,1332,10,14,developing
89,4,904,32,35,mastered
67,8,768,19,29,developing
41,7,2086,13,30,weak
61,1,289,9,14,developing
85,3,372,16,19,mastered
100,9,1611,19,19,mastered
68,3,495,9,12,developing
51,5,785,13,27,weak
66,1,179,9,13,developing
43,8,1272,16,36,weak
84,9,2349,11,13,developing
86,3,441,28,32,mastered
44,4,1128,13,31,weak
53,6,1620,15,27,weak
87,9,828,15,18,mastered
75,7,854,26,36,developing
45,6,726,10,19,weak
72,4,728,25,34,developing
53,1,298,13,22,weak
76,7,1358,18,23,developing
78,7,917,28,35,developing
97,9,1845,22,22,mastered
60,5,1190,8,14,weak
57,5,850,7,13,weak
99,2,592,30,31,mastered
46,1,247,9,19,weak
57,4,424,6,10,weak
64,4,372,23,36,developing
71,2,166,26,35,developing
90,5,1365,34,38,mastered
77,4,832,24,32,developing
57,9,1530,19,36,weak
56,3,636,8,13,weak
86,1,297,8,10,developing
56,5,1495,13,24,weak
79,7,1498,24,30,developing
42,8,1800,5,10,weak
75,6,1566,14,19,developing
97,3,522,24,25,mastered
52,2,276,9,17,weak
47,1,102,10,20,weak
87,4,716,29,34,developing
58,4,732,10,18,weak
50,7,1183,14,29,weak
96,3,606,32,33,mastered
86,8,1936,16,18,mastered
64,6,1410,21,35,developing
63,9,1575,13,20,developing
73,1,162,7,10,developing
68,3,618,20,30,developing
44,9,2070,12,28,weak
65,5,490,7,10,developing
68,6,1632,12,16,developing
39,6,1392,13,35,weak
62,8,840,17,28,developing
76,9,2205,11,14,developing
41,5,470,11,26,weak
49,2,488,10,20,weak
78,9,2025,12,15,developing
61,1,136,13,22,weak
50,1,144,10,19,weak
91,2,406,31,34,mastered
52,2,314,11,20,weak
90,7,1652,31,34,mastered
92,3,408,15,15,mastered
76,4,832,20,24,developing
35,5,415,6,18,weak
86,9,846,31,36,mastered
97,8,1256,13,13,mastered
83,1,271,31,35,developing
85,9,2160,18,22,developing
88,7,1162,22,24,mastered
94,9,999,15,16,mastered
98,2,192,27,28,mastered
80,9,1692,32,39,developing
84,1,251,29,36,developing
81,2,442,10,13,developing
78,9,936,22,28,developing
43,6,1188,17,37,weak
79,1,174,24,31,developing
44,4,1052,13,26,weak
64,4,1148,23,36,developing
71,1,129,20,29,developing
69,7,1162,21,32,developing
84,2,476,28,32,developing
47,7,2093,18,36,weak
73,7,2023,14,18,developing
62,9,1845,16,27,weak
70,8,2160,15,21,developing
55,6,762,11,21,weak
87,5,500,28,33,mastered
95,6,1266,16,16,mastered
84,2,168,14,17,developing
97,4,356,15,16,mastered
73,2,460,27,37,developing
72,3,450,14,20,developing
93,8,1680,16,16,mastered
88,3,369,24,28,mastered
59,8,1128,16,26,weak
99,7,1680,38,39,mastered
99,9,1467,16,17,mastered
86,7,602,23,26,mastered
94,8,648,27,28,mastered
96,6,762,20,21,mastered
62,5,830,8,13,developing
81,4,544,23,29,developing
99,4,496,35,36,mastered
93,3,300,37,38,mastered
62,3,390,15,22,developing
46,4,568,14,31,weak
65,3,834,7,12,developing
42,2,456,6,14,weak
97,3,786,13,14,mastered
72,7,1183,26,34,developing
43,4,424,11,26,weak
100,3,555,24,24,mastered
61,5,685,12,19,developing
67,6,948,11,16,developing
82,7,931,14,17,developing
35,4,1124,4,11,weak
62,8,1920,13,20,developing
47,3,240,6,12,weak
79,3,300,13,17,developing
65,7,1778,11,16,developing
42,8,2064,11,25,weak
74,7,1715,10,13,developing
48,1,204,17,32,weak
73,4,892,19,25,developing
40,4,956,10,24,weak
63,9,1953,13,20,developing
34,8,1128,8,19,weak
97,4,432,21,21,mastered
81,8,1560,8,10,developing
65,8,1808,26,38,developing
79,9,747,11,14,developing
73,8,1864,12,16,developing
27,5,955,9,29,weak
33,4,1032,12,39,weak
98,8,2088,15,16,mastered
75,9,2385,24,30,developing
80,8,2104,19,23,developing
84,4,936,19,22,developing
87,9,1431,16,18,mastered
43,8,2280,10,23,weak
22,6,1692,5,24,weak
59,2,348,11,18,weak
78,5,1200,14,18,developing
61,4,884,19,31,developing
88,7,1673,12,13,mastered
80,2,328,25,32,developing
77,8,2144,21,29,developing
60,1,268,17,26,developing
46,3,693,8,17,weak
71,7,2044,16,24,developing
100,1,289,34,35,mastered
63,1,168,7,10,developing
57,8,1968,14,24,weak
45,5,1195,7,13,weak
88,8,1672,23,25,mastered
46,3,726,13,25,weak
78,2,280,13,16,developing
70,1,235,24,36,developing
79,1,111,18,23,developing
84,2,532,8,10,developing
57,7,1792,13,21,weak
55,3,840,21,37,weak
52,3,642,11,19,weak
60,4,600,25,39,developing
85,5,500,14,16,mastered
88,2,164,18,21,developing
98,3,594,13,13,mastered
80,8,816,17,20,developing
57,4,628,14,24,weak
62,7,728,14,24,weak
69,9,900,24,35,developing
36,2,232,6,14,weak
84,6,1212,17,21,developing
60,2,556,17,29,weak
70,3,579,26,36,developing
57,1,232,18,33,weak
45,5,1295,11,23,weak
100,2,200,23,23,mastered
73,9,1170,15,20,developing
79,1,212,29,38,developing
37,4,624,7,18,weak
82,1,125,23,28,developing
76,8,1128,20,27,developing
93,9,2511,21,23,mastered
70,7,1323,26,39,developing
46,8,1432,16,30,weak
100,7,1211,19,19,mastered
78,9,1548,14,19,developing
74,5,700,20,28,developing
60,5,1275,6,10,developing
31,2,306,11,30,weak
78,9,1611,8,10,developing
57,8,1280,8,14,weak
52,5,745,10,18,weak
88,3,810,31,37,developing
100,6,606,25,26,mastered
78,2,440,20,26,developing
74,5,665,7,10,developing
40,1,103,10,28,weak
74,8,1472,26,34,developing
82,3,345,26,31,developing
94,2,246,25,26,mastered
69,3,477,7,11,developing
67,5,1365,11,15,developing
90,7,1722,21,23,mastered
70,8,1328,27,38,developing
90,5,1160,29,33,mastered
61,3,528,6,10,developing
32,5,1325,7,22,weak
33,8,1688,10,27,weak
66,8,672,21,31,developing
97,3,525,23,23,mastered
61,5,995,25,38,developing
57,1,130,14,24,weak
60,8,1832,7,12,weak
93,6,1494,10,11,mastered
76,6,834,9,13,developing
57,2,546,14,25,weak
66,7,1337,20,29,developing
39,7,1134,12,29,weak
93,5,935,24,25,mastered
84,4,420,32,37,developing
64,5,1170,7,10,developing
85,4,528,10,12,developing
55,9,1512,11,21,weak
70,1,125,11,15,developing
75,3,558,29,38,developing
25,4,1144,7,32,weak
57,9,2610,9,14,weak
62,2,472,25,39,developing
76,1,271,28,37,developing
79,3,669,9,11,developing
73,2,392,24,33,developing
63,1,134,24,35,developing
83,7,826,11,13,developing
80,8,2328,18,23,developing
61,2,384,17,26,developing
73,1,138,24,32,developing
73,4,392,12,15,developing
55,4,648,10,18,weak
62,8,1288,14,23,developing
96,6,1302,18,18,mastered
59,4,424,7,11,weak
65,7,1603,19,27,developing
73,9,1683,12,16,developing
61,3,738,17,25,developing
49,3,780,18,39,weak
60,8,1864,11,18,weak
51,6,732,14,25,weak
35,1,169,10,26,weak
91,5,585,29,32,mastered
81,7,1505,26,31,developing
45,8,2248,7,15,weak
87,7,721,22,24,mastered
79,5,1005,20,26,developing
62,5,1155,22,34,developing
42,9,2025,12,26,weak
77,8,2112,21,28,developing
91,8,2376,13,14,mastered
88,3,240,24,28,mastered
59,8,1168,19,30,weak
64,1,147,24,37,developing
51,1,294,13,24,weak
42,6,792,15,37,weak
61,2,248,18,30,weak
98,6,798,31,32,mastered
86,6,1518,24,28,mastered
97,8,1552,24,24,mastered
63,7,812,14,23,developing
58,1,273,24,39,weak
67,5,700,23,34,developing
82,4,568,23,26,developing
87,1,278,32,36,mastered
70,9,1791,29,38,developing
89,9,1116,20,22,mastered
